Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
992,28,787625025,1729585989
993,28,23383808,-542808961
994,102,-1997597849,-152387965
995,62,-777860228,-1585939420
996,79,880071517,-1279296074
997,45,1351936134,-748462531
998,34,277987354,-2034542566
999,113,-315184007,-639356882
Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,62,-325484855,-222533734
1,96,904854002,1478997039
2,96,-1284170633,-109778012
3,28,-732379187,-385709579
4,17,-168758510,125599565
5,45,632331382,1856447809
6,34,510890283,924867944
7,113,848253082,-588393962
8,45,470830991,-776601023
9,113,2139759504,-334237763
10,17,-1665765458,1201225993
11,68,842643955,1304558372
12,96,2126774214,885493641
13,45,-918445157,365955909
14,28,1511884347,-2012859611
15,79,1396756947,-1374236627
16,51,1963903437,-33443525
17,28,-1119574442,-619307999
18,79,-347453326,1717642964
19,34,-2085941690,-349796015
20,17,-1182153831,-117095357
21,68,1722043284,-571106465
22,85,1166865269,-585703603
23,34,-485303267,-894608375
24,62,-1882284950,-321959352
25,85,275939638,1238169149
26,102,2008630285,-596178233
27,34,1215897299,-2084910392
28,51,1065372865,-933900993
29,45,-475353827,-1221800358
30,62,-1706602814,-92609498
31,45,1025253073,-907219061
32,79,-1597954886,-242082360
33,96,-439316917,2026818418
34,62,-205828175,-793040446
35,51,-510962681,-49756577
36,17,1439356847,-1781287396
37,85,1398362463,-311660404
38,51,-361936207,-1743023701
39,85,-1749190007,-1907918146
40,85,1989618930,-689702202
41,34,-687622082,746315751
42,17,1933236512,-418562772
43,102,1403341560,-567575297
44,45,1914128012,194456957
45,85,-2018990768,-1532742809
46,17,-714541932,567652395
47,102,-1969713365,-1263715631
48,85,-1655103363,701741354
49,17,-171144538,-559591855
50,102,-348383636,-2094870409
51,113,1327387267,309789936
52,45,870414111,-331442410
53,102,-233267247,214311215
54,28,-2053938547,696457974
55,34,-1111528051,-91996217
56,113,-23718568,-522958658
57,102,-130733847,-15495101
58,113,2048615880,808738246
59,51,1941103830,1039618833
60,62,-1263521301,-803712949
61,96,-574017338,-1408141294
62,85,2072805148,-1604405929
63,102,962276028,171850484
64,79,-1438023084,1734848629
65,17,-1087985155,237357726
66,17,-1011244510,-1299173800
67,85,-1015308552,168727884
68,113,-613602203,1686913771
69,85,356708987,-1989027569
70,45,-103392847,1837746464
71,51,-1283415477,-987357015
72,51,-1755248641,-2060129686
73,34,1834985198,-1605431398
74,34,-648374089,-415240062
75,113,235306678,-1804951769
76,51,1624379822,1631031916
77,28,-247782308,-43407196
78,68,615647333,1115368768
79,34,1984052453,-2097030392
80,102,-1001411268,-371124597
81,51,-916162924,128280158
82,102,-818780471,-1148234320
83,34,-1621913766,924783322
84,102,-697520130,1582542135
85,96,1773698050,1924132667
86,34,-618276863,-1688059584
87,113,366582,1865507960
88,102,-1295241293,1352824654
89,102,1870566697,-825433047
90,68,-2095242335,1462256005
91,96,-1567791040,-2050707252
92,45,-188998470,2101247207
93,51,-383761423,581112126
94,113,1570715910,-2078330704
95,113,-109193820,162510077
96,68,1294329935,92346333
97,96,-1712993391,1854717026
98,62,1342752676,-1676075708
99,62,1608457844,-1146758188
100,17,-649172856,2085741499
101,34,-1482142630,1423266656
102,17,-24459381,-432119940
103,68,1975436153,1869528852
104,102,1595704644,-625838636
105,102,1798582499,-1862544374
106,85,2121363052,-853497003
107,62,264614819,-1895649332
108,45,822840270,-556749630
109,79,1678509568,-156906845
110,96,1731571445,626812660
111,45,1318379576,-1285510556
112,34,933236852,-911229233
113,79,1598382673,1525556798
114,45,-1523742425,341380528
115,28,945617339,-2059297017
116,34,-2017041921,9432738
117,96,-501563789,993451212
118,28,-876891123,-314620292
119,28,192399357,1193375366
120,85,-1160631524,-1546840723
121,45,-411908655,-258655533
122,17,2050718620,1155738305
123,113,-1789861813,1477856932
124,79,-1554229751,-1621304111
125,34,1691249376,938672121
126,17,192730123,-663223647
127,45,-2016477522,-1860607480
128,113,1693481599,-871545745
129,45,950346925,1229017635
130,68,-800035075,243265707
131,68,445481049,-464755080
132,45,-1560917369,1014849084
133,68,-1098941603,-362693323
134,17,1962931391,-1904443409
135,28,-1481484483,6528149
136,62,457980613,-552300689
137,34,263196420,-1926832000
138,96,-1028062653,1249354382
139,28,1142141815,106803606
140,113,-2033050971,-899766569
141,17,344114891,791910090
142,34,-1191923847,316831958
143,51,1259898657,1550397828
144,34,1377372268,-919923560
145,62,-1342672883,-1148773344
146,85,-1017358354,-432250217
147,34,444625139,-1948663387
148,17,1141637935,-1300483986
149,113,-222939747,-1841146733
150,85,1243437035,-44324922
151,79,283100185,958867851
152,28,230980843,1699355930
153,85,-889136622,-590425806
154,62,67155960,-2012063737
155,68,412067854,730204568
156,68,-1088622465,-311987090
157,96,-212213295,2098797632
158,85,74555048,-1255470162
159,113,1846894677,-1790871269
160,34,1995003782,676523092
161,17,-1515048654,1313196210
162,79,1456896902,314262868
163,68,-1826444115,2099987056
164,34,26923981,-653553111
165,45,1991790923,1150722311
166,62,1839402986,-778647511
167,102,-720769804,927072407
168,102,-1748447265,-1047715218
169,68,-1977852458,1187094511
170,17,-1934776777,-2087892030
171,17,1008928087,2032162510
172,34,-1879870307,934999340
173,96,1097364926,-631658644
174,96,1322489805,-1627618009
175,68,-1087078178,795274670
176,79,1075215415,860825060
177,62,70092197,-1735606967
178,79,-566160062,1148881983
179,85,838601595,1120070508
180,17,1214706118,-1161167162
181,113,-1906303578,-201750062
182,34,1989837169,-617951040
183,79,806021804,1537679121
184,17,480731004,1690463267
185,113,1991358540,196318539
186,96,471842439,-1397685318
187,79,-1391192442,1273683989
188,96,-1906500034,1891303304
189,51,1742706377,-1316930827
190,17,1070665248,1864247562
191,34,-1356219107,1192937993
192,45,-613723983,1029578403
193,62,-356231515,372799061
194,62,1840560133,2000093244
195,79,-2111197575,1217412198
196,79,-240130083,1839070540
197,113,2008441487,2053656698
198,79,-1785094129,693418346
199,113,-1203967386,1363390960
200,62,259490695,-6323729
201,102,-692194084,-607705367
202,96,-1845121791,4355348
203,17,1016507795,1380948691
204,96,948557773,459668206
205,34,-1972301979,247752804
206,62,1585802595,1684890232
207,96,-1897650292,694041397
208,51,2090278818,1276293693
209,51,-1968904828,-1356707549
210,45,-396305433,-76636791
211,85,-1807135062,-1507939547
212,51,1426514946,1174218674
213,102,-1631203151,-900971214
214,34,1939562909,1360474837
215,17,-4643562,-1936296313
216,51,1957004709,1605003658
217,62,788276716,-1228701246
218,113,1375510858,425705078
219,28,1284794133,-1199986376
220,62,-1912306194,1421894814
221,68,-1468485869,1015083556
222,45,1524758711,1438114720
223,85,1112545185,-1081867036
224,85,-2067725184,939570804
225,17,-161536222,-1528343498
226,85,-1208224712,-2034169460
227,45,415463606,1745542802
228,45,-1086270787,-647857893
229,17,-1351972720,1884119463
230,28,-1281749351,1288283476
231,102,1810754374,1805740798
232,34,-582459728,57823704
233,45,-482289413,1106657362
234,96,-957413189,-2015484168
235,85,477431174,-695026386
236,85,-2015233343,-1737280475
237,45,-1342571817,1211292043
238,28,-1367070909,2114134468
239,102,1847858760,-1843599190
240,79,1095140079,1536147913
241,85,-229933129,1057165425
242,96,-513266599,-742173513
243,68,2069515151,-1238655131
244,85,1001281078,-1327934019
245,85,-599208003,139328748
246,79,-294656891,1425991953
247,51,-1652450264,-818700728
248,17,441226598,-1509190174
249,17,-1809668127,-1592410973
250,45,-2069157108,-1419933719
251,96,-1677990947,1514442982
252,85,-1364167515,1677897445
253,62,773363107,950800708
254,51,-1006203461,1015381795
255,62,665451393,1914155393
256,113,-971408387,-708394800
257,68,467983279,194042962
258,68,1513063801,-136326937
259,51,1442493621,467271937
260,96,-2087959599,-648216262
261,79,1609012562,2091360300
262,85,-263805086,-1838260526
263,68,-1237846485,-31580268
264,45,781423204,815665238
265,85,348091092,47599057
266,62,-1185305883,2015185668
267,28,1163091787,-164413986
268,102,1591853138,-1621483122
269,17,1694588834,1329630811
270,34,-2041375564,-1796962504
271,96,1129025843,-70088711
272,51,-1325881190,-826421732
273,113,402011141,1693575667
274,34,-1291846320,1463208615
275,51,-39863781,299980520
276,96,448020474,1548824278
277,102,-352417616,1413665511
278,51,902370312,-853638960
279,17,1909378756,-1718589837
280,102,1161451387,1805612850
281,17,1214718007,1068888555
282,79,76931150,-993857995
283,102,-238455205,1201942083
284,68,-1371302559,-1160176764
285,96,1336105532,-883935704
286,28,1433057942,-994635738
287,79,2059223351,-1906252134
288,79,-1456148813,-439209776
289,113,-1374819410,-798340398
290,51,320277823,-2130430598
291,113,2036342820,713569227
292,34,435440660,1096846302
293,45,125186869,466622926
294,85,-1593758390,531006436
295,68,1615701654,-1391564962
296,45,-1516090894,578802406
297,68,823263083,-448439117
298,17,1533631423,1006969538
299,96,1341213932,-1913509877
300,102,812249335,447077339
301,51,-817472458,-392016964
302,113,569330445,1513708597
303,102,1530270130,-1043161414
304,85,-103138063,-1156686104
305,28,-1321608486,1914815290
306,102,36651798,998385884
307,28,725678153,1800277915
308,79,-143623938,1446148460
309,96,307419659,-71021489
310,85,-40482628,-344070114
311,62,-906345275,-1791203655
312,51,-268225807,-67275464
313,102,-1044127740,-111483260
314,113,1823103571,-701523452
315,102,2085441257,275968314
316,113,1277427591,-2051260648
317,17,-1502449926,-357754910
318,28,-123710817,-623231484
319,51,-1396731284,-1731852632
320,85,-1974289496,-138211491
321,34,594464723,-1830663284
322,17,-1437873638,-1619731406
323,17,927500680,975137422
324,85,-1662817306,-967779475
325,45,166157072,-1803584055
326,68,1197805749,608946704
327,45,-415987972,-1430661091
328,102,1141707839,796201774
329,68,-1044214450,406467390
330,17,1325954540,-1570398498
331,45,-193975693,-12212987
332,68,-414034552,850569110
333,113,-928354179,-1948901527
334,51,-1375161707,1826748248
335,51,212293517,-1722277082
336,102,-372850036,1757785837
337,79,1658266927,230415464
338,51,907460505,-159012905
339,79,-2023244484,-1952706699
340,34,701599579,2032874992
341,45,-1602803009,97146357
342,62,-1645613335,419423794
343,79,34360946,-724054304
344,62,-452691310,-914491499
345,28,-487251560,1102317832
346,62,-228611952,-308116978
347,113,-1778666415,-876300082
348,68,-388462673,-199345842
349,45,-729470300,-1241526548
350,85,1698903723,-1552009917
351,85,-1578339,663779330
352,17,582585004,-1181079448
353,68,-616493462,853641594
354,79,1333930541,2033039356
355,113,55393585,964722622
356,96,1524739190,-1539206926
357,85,74331577,1056769462
358,34,-1787049943,-1129208645
359,96,-247755456,2041238427
360,17,77480336,-20617099
361,102,-526013371,-1276277973
362,51,-1822368491,1756918155
363,102,1232525015,1438743774
364,17,-821885297,-1614027608
365,28,-755465160,-1240913303
366,62,-1486052637,932613513
367,34,254409405,1433350010
368,17,-1390069429,542919945
369,34,-1945329675,-2039882872
370,45,-1644676806,-1259998556
371,102,275816249,832225323
372,113,1634544499,-255669588
373,85,-231383667,-446811687
374,34,1579626655,651502223
375,102,1301366171,-1254098661
376,113,600012411,1911129941
377,96,1771202732,142400441
378,45,548182606,-1954559537
379,113,-374826499,-645304663
380,45,-1274631603,360897133
381,62,-1147801785,739023419
382,28,596102862,-1832709177
383,45,1537124819,1247812929
384,51,-602478117,820849138
385,34,-1739611484,1139482428
386,102,7312235,1495461922
387,102,-872001414,1050628560
388,85,-756543456,-1862540576
389,102,248915680,-536637891
390,51,235963537,340770052
391,45,892952466,-955805167
392,17,-1195913508,164791218
393,17,557842937,1735785016
394,85,1643620795,1299268188
395,51,-491651478,1599693510
396,96,-483724241,1085307420
397,17,281408658,-1076806091
398,102,-1416111779,1817321554
399,96,639737686,126580925
400,28,1712797610,-306464412
401,51,2006540412,-1890652216
402,34,1978091528,-1941860025
403,28,1659878300,297105199
404,85,41870438,1997549901
405,17,-120587596,-1223340296
406,51,-1986347969,610521666
407,28,-377312926,451253309
408,68,1833521557,-1647804791
409,28,-1125523435,-868548456
410,51,493818202,421502852
411,113,-697679252,-1813572439
412,68,630878666,469502149
413,62,1378370724,-1549088621
414,34,378010609,1259990068
415,102,-931437256,1606545050
416,51,-2025367717,1285714584
417,68,1266219599,-237015633
418,102,395274461,-540331761
419,102,-611887650,2033134348
420,34,-1522726466,2035454358
421,51,330304690,1364640110
422,79,1102928157,-253927540
423,17,-1766537939,-1781128400
424,62,1469427003,-1415925930
425,79,-145884211,1758127820
426,68,2133713153,-1929593623
427,45,-242150653,-789388185
428,62,-170800490,1567213058
429,62,-1405873724,862437364
430,17,575869919,1518892846
431,85,278401849,-1733883193
432,79,1477550504,-492538831
433,28,1351777135,-975322944
434,79,-747442291,-1641956765
435,102,-1923268308,1601619239
436,68,1065924655,-1574197157
437,51,-2044094288,1656107410
438,68,-1847061128,606485143
439,45,-236932571,-1325556534
440,45,-1830455438,1861399885
441,45,6507170,-1744858602
442,34,1519098108,477990374
443,62,1682028749,1356592547
444,34,-1893421605,-2013360181
445,51,1712038787,1104114212
446,17,532565569,699487353
447,102,757018344,1766196848
448,28,941883396,-641241958
449,96,1026227941,-1633953922
450,34,-1048493123,-975496610
451,62,-655425993,-1121169439
452,17,-828709758,-287941021
453,34,2033571299,1039953536
454,17,-28950881,1758733671
455,34,-2102949735,1568707324
456,34,1938955916,-1605067804
457,113,1487959765,-1883601570
458,96,-1580050350,-887823745
459,85,-1386630539,-903755171
460,85,-957577304,624921668
461,34,-1646251123,-1883362421
462,45,2094384804,802669984
463,17,791262027,919210064
464,96,1490326854,-888476159
465,102,-401201187,480913475
466,113,-762140153,1461478504
467,96,-193661500,-1478595673
468,96,1680273678,46288530
469,113,582706075,2032054634
470,96,-833132435,-493731662
471,85,972911240,1557254530
472,34,-963659865,-208733175
473,51,-1118518741,488475041
474,68,-50969659,1836813488
475,85,1297149500,-1663696776
476,68,-811807839,260674321
477,28,-1042988381,-1722950846
478,62,2140988661,1848555407
479,85,1449134462,-1510756795
480,34,-1621344287,-329959623
481,68,-812291931,2119528819
482,79,545751835,51942314
483,113,-2121490623,-401749889
484,79,-1577603362,106669403
485,28,-1078077502,1982860640
486,96,1094875863,1261929854
487,79,1007956111,-1481885103
488,62,1434607599,849571196
489,96,-2121384852,-296034874
490,85,-115118777,880098405
491,45,-1663252815,-1236262775
492,79,158467359,-269237775
493,102,-1387383584,-1059489785
494,51,1430036290,-1752956653
495,51,1158758733,-536096256
496,17,1247411606,107472400
497,113,1445071883,894002648
498,17,-1678156762,-1547665554
499,45,1744838330,2045011370
500,96,1644981045,692180187
501,34,-465744433,665054657
502,96,92278012,822253353
503,79,-1446469292,-163902950
504,102,-769810006,1732420913
505,85,1440412941,-328354496
506,17,-523255297,1192357105
507,45,-1002725101,1793298082
508,85,-794338953,1699951603
509,85,2041938380,1066895151
510,17,-1187057615,-1855150907
511,102,-1850576124,1400140829
512,68,-1839742070,887294177
513,62,-898566774,-578103649
514,102,-61729929,924695730
515,102,-165693779,-1829649201
516,96,-111666689,502595384
517,102,-960763276,98830415
518,17,-913209206,1322110594
519,28,677840328,-438392682
520,68,-1715690204,-737945985
521,34,701391152,-1638308233
522,28,-1318447519,-915341370
523,113,1415209556,-375193089
524,68,-1836969059,-392309528
525,79,492179940,1612729938
526,113,-2038456482,-1015981599
527,113,602225188,311383231
528,17,-1297315487,1888529869
529,28,-1264995098,-1475658279
530,45,-95133579,259770162
531,62,-2041180438,1798921937
532,113,188456450,-638980779
533,96,35780388,1434392198
534,85,-1714086817,-1611878713
535,68,2023845543,-2070154185
536,102,542721241,-594484013
537,113,-1540062340,-1756640791
538,68,2076983164,-1523107181
539,51,1036619542,-1620149186
540,79,-876634316,481135863
541,68,-1800328372,1776959063
542,113,-429120313,820831478
543,68,-373343223,-237532321
544,62,828630266,319251360
545,51,-1804783457,-1978146662
546,28,1562930367,-1040755670
547,17,1742951564,-1079764875
548,51,-374618826,-364760449
549,34,1251406772,-657910387
550,62,1328140320,1240411070
551,113,-808500626,-571683345
552,17,649194029,1074176430
553,51,2278895,170717310
554,17,725331077,-1129850672
555,45,-34177840,476429643
556,62,1612059782,167821057
557,96,650155481,1070406380
558,62,-223895389,1087620795
559,102,1548885650,-669398283
560,96,1649011953,304818496
561,45,500047129,645910376
562,17,299259817,-1198556647
563,51,-391986811,371424666
564,85,-308134795,1233738097
565,113,400002809,-1686141312
566,96,529479165,17304817
567,102,1101422573,-625099647
568,62,-327183684,766040348
569,79,-105176882,690794605
570,68,1470781357,-271851425
571,102,-1651296692,-1225690239
572,28,129959231,1735749149
573,102,-1156543352,997721733
574,85,750732689,-2113056520
575,51,-1156239859,-892649751
576,96,-1538036040,815331841
577,62,2143195283,-1162041392
578,79,1976696329,-1530869228
579,102,-251696208,1874828571
580,96,1779053327,-1621962387
581,102,-124062903,2038741450
582,68,498677642,-1341359325
583,28,802097859,-826052691
584,45,-2011030627,1933152188
585,17,319947830,-1804250339
586,85,-1680881046,556114401
587,96,598552838,-1265946705
588,62,-481766188,1902031693
589,79,-1769434544,-1063369367
590,28,-1957392575,759268906
591,85,1600592553,717382013
592,96,529025020,59951660
593,85,-1555428354,1359073025
594,17,1294813283,-1726552141
595,102,-1376801141,178923044
596,113,275929698,964714708
597,113,1272995662,-1662003932
598,28,-2143830343,1079605914
599,62,-415843904,44052872
600,85,-1846341854,-846898116
601,62,1740743423,713178190
602,62,1877121209,1847884157
603,102,438458157,-242993053
604,102,1670058548,1371766269
605,113,-940019390,1209271366
606,113,-405791638,-457241124
607,28,205160820,-953147941
608,68,1623459044,1863078540
609,34,1038721729,1896555076
610,34,-592852486,321282353
611,51,1636224693,-1534617137
612,34,507859874,1381048724
613,45,-793075633,374839638
614,17,1371852498,-1701017697
615,102,1851805499,899847342
616,28,-1475930597,1980221479
617,51,-836009393,454088610
618,102,-800734719,365874182
619,96,-1784425859,680937619
620,51,1796786376,-1977022501
621,68,-1242660038,666088711
622,85,274913165,-472939497
623,85,-243729639,397536208
624,79,1139236006,-49955719
625,28,1146830059,1750664022
626,28,-575015022,-846902966
627,79,-727234572,4467912
628,102,-1497271868,-2083707592
629,85,886175667,-211719537
630,96,529595120,1390222572
631,96,1190189810,-1271073545
632,34,22536682,860415565
633,96,-340522079,71993638
634,34,247914449,-1700475158
635,45,1594252087,-1893607012
636,51,-476389367,575254537
637,79,-1647867472,702716021
638,79,-347429129,-608915475
639,85,2069706251,-397004254
640,102,2146670247,-614206704
641,79,-1061654343,522184890
642,102,-1059449720,1145354856
643,68,-1771196069,1841311676
644,85,-304154359,391549190
645,96,-1354061957,1914431762
646,102,687957167,-1394084521
647,51,-1316318276,-2033953031
648,79,1332041190,2121458077
649,113,1535091849,2114644635
650,45,878518074,-198472895
651,17,23040124,1724560261
652,45,965974549,-1265687219
653,79,-287220325,-2057156455
654,62,-1300220330,1070006128
655,51,316166469,-2143017505
656,62,1835126275,-1124062329
657,45,-1672235132,-1391466000
658,28,1844187842,-1706291341
659,113,-1169113220,264272466
660,68,-644503890,719639701
661,113,119047509,-345332770
662,85,-1669577066,-323874755
663,102,1450884927,-1648193538
664,28,-1330629696,612353406
665,113,-2007546873,972226880
666,102,997408643,-1780007419
667,79,1582569974,2058717679
668,34,-9313768,892251629
669,51,-485580759,-584717900
670,62,-1142131570,42236847
671,68,-636552958,274654578
672,102,722825726,151794163
673,28,897681465,628167314
674,68,-980213079,204481877
675,113,-699895262,853896453
676,68,-1146535435,1427889154
677,45,-482668855,-152154695
678,28,-1162126436,-1910846838
679,68,608628566,-2076600774
680,45,1455055652,807328578
681,62,-1172300147,-605693411
682,113,2099444258,-256039003
683,85,-206796666,-1912050945
684,28,-1929723677,1098556148
685,51,-155569943,560024802
686,85,678430886,-376139099
687,45,1022684217,-1241792242
688,28,-926783457,1433736703
689,34,65451986,-1223915573
690,96,-1003542622,-1511172548
691,113,433418427,-1197242899
692,85,-1060357608,-1424041431
693,17,-388182213,-759655634
694,28,1622808825,-780332851
695,17,1649495878,546749002
696,102,-857704847,-1955014187
697,51,-1432366801,-1618838841
698,113,-910866335,588120920
699,45,-758828228,-2073555807
700,45,1232976992,867843989
701,28,-2055015493,143789573
702,62,1637357709,-1674373830
703,34,669515317,865431962
704,68,-881164270,-731313664
705,96,-1567743856,-434300500
706,28,954816416,171813968
707,85,-1042303477,-1222461161
708,79,-1225196853,1459417607
709,113,1907204054,2146229038
710,62,1857876841,382361052
711,79,-1616888151,-421997134
712,28,246181284,-179879770
713,85,1634254218,-431947887
714,17,-89309132,1776537964
715,68,586761647,-2087774659
716,34,1576013860,-1911424214
717,96,281626482,164933583
718,45,893643859,763887594
719,28,-642047074,-2146859723
720,62,718717984,189295101
721,68,-316856245,372812389
722,45,-799758439,235841886
723,28,-1897133246,-1354313062
724,34,242707306,-542852894
725,68,-777270612,-211995807
726,102,-651973466,34706866
727,85,2113573425,610729112
728,79,2145753853,1646927716
729,85,1140129719,1415708419
730,28,-407139061,1169396006
731,17,-1854514614,1964500697
732,68,1126542476,518414450
733,62,-676371559,558022769
734,102,-1897471571,-732551099
735,28,-836741158,-144401335
736,85,1610458600,-1824957322
737,51,-1189391328,525103045
738,34,299520362,-904948009
739,85,879206357,1306992320
740,68,-1520017835,-958166508
741,28,-609262032,-1686973642
742,79,389700334,-1651863577
743,85,1574761370,1782444863
744,79,-2099708930,260116665
745,17,876710000,-368952577
746,85,-417050954,-1275030327
747,79,-426421096,1508974949
748,96,514729089,637151139
749,68,-382057502,1940457361
750,96,1174404854,1187635266
751,51,-61128499,15713981
752,68,100495245,-533689889
753,113,350868538,-1265826667
754,96,804390952,-243218459
755,85,1468134024,1880989516
756,51,696763103,80006179
757,51,-590573532,-2048829456
758,45,1061572250,1948507704
759,68,1154629328,1044917055
760,51,2036806589,-877932038
761,17,179715475,-1386976614
762,102,-1715662438,1991613830
763,102,1244090469,137827127
764,28,-2042459310,-820263866
765,34,1306480723,-759463491
766,34,-1841667995,-1290440069
767,85,-1373965604,-1979155838
768,113,442223792,-1302303846
769,28,1602417953,1709140595
770,102,637410091,-258640451
771,62,2006194969,-1257189926
772,68,1712603488,1685426182
773,113,-1496115205,-688033461
774,51,-1964043333,2057773663
775,85,1641087461,-922108180
776,51,1522169607,1843689289
777,102,-23546270,509653165
778,113,-1138184776,-1047177529
779,79,2030322768,-1831593658
780,79,-1337786694,-17797268
781,62,-608351761,-1546992113
782,45,1729595933,1530557713
783,34,898030270,506411614
784,102,1239172938,-934766311
785,79,-1044254135,614819616
786,51,1878906478,416403054
787,102,-876322972,-1090584168
788,45,74622564,1496917610
789,17,-1636230196,1121197970
790,113,-1278296645,214949145
791,34,-1834943042,-1946385896
792,28,246919599,700789864
793,79,1306731992,1000104223
794,68,1215959212,1662615303
795,45,-1277473840,1307168861
796,62,-1064856149,69713280
797,51,530391678,1736543781
798,45,313348887,-1683443090
799,68,1127269364,2070505483
800,68,-665696015,-1467308911
801,62,-1308973115,383813757
802,17,278796351,-2050082591
803,102,721195658,-456471456
804,79,-242005732,1326955002
805,102,1063848104,1647164342
806,51,1165258385,1876337463
807,79,1930736230,-1673303424
808,45,323452970,-1518857518
809,51,-995510642,668162854
810,17,-663439505,799598712
811,17,338966238,-765121960
812,62,-865050476,-747827984
813,113,390241549,-1140318907
814,96,-629582944,-546696680
815,28,1979809218,708894162
816,102,-2072708100,-293104166
817,17,1300034578,-1768831731
818,17,-2040261928,-1452879863
819,51,1896407494,-520510193
820,45,1247306460,1806579079
821,96,-2096840846,-1531761998
822,79,892031699,-2049059802
823,62,-579040125,746103853
824,96,404134676,372427546
825,79,-1041420467,1798733091
826,17,-77707027,1540140070
827,68,592465731,848820778
828,17,-624659241,-873962334
829,51,-824307467,-774456768
830,17,893150803,-292408192
831,96,686425705,1532035035
832,45,-22324542,-1776357238
833,17,-77297434,1942033066
834,34,344410091,-1980628484
835,62,81252591,1538722029
836,62,-1598287305,206219409
837,45,1147136161,1669314430
838,85,-154736393,-1608689668
839,62,170922280,-1746623258
840,85,2014824406,645268557
841,96,1771483384,1669752468
842,62,1286118259,-739910240
843,51,1635955393,-1283785215
844,96,1085321582,-302121772
845,68,1626898386,142188371
846,17,1922697417,-1924703537
847,79,-1847980546,-1462695634
848,34,-1667171048,-1089625310
849,45,-637008785,665340902
850,113,-2066288502,264381602
851,51,-936495106,-621236170
852,28,363754277,-675749380
853,68,-1967900348,-974288314
854,102,-1469777487,1672147124
855,113,-2115071333,-1698765296
856,68,-722406567,944946247
857,96,-1364275013,-1493640350
858,85,-312131909,-422054810
859,45,-1735110046,128443962
860,51,2071232618,58512542
861,34,-32102591,-1287220706
862,102,-361850800,1502567419
863,79,-1750995464,1411362365
864,85,-1750266569,1707854422
865,62,-1346656806,446069288
866,79,617903762,-1018464879
867,28,210261832,1395167281
868,96,1618327273,481271729
869,85,602953418,-433820960
870,45,-936884712,-1886728385
871,45,1102199170,-2047283107
872,17,1657718194,-1207215447
873,96,-1932105405,1748552149
874,45,169839012,219033248
875,34,2126764565,-868903522
876,34,-441678078,2103135606
877,17,-697156763,-1486771494
878,96,2014473030,-944638728
879,79,-964551281,757950464
880,113,-2086913480,589820369
881,113,2109076234,-108761838
882,45,1055684655,91211664
883,28,918314483,1199189671
884,113,-1500429496,-32193293
885,45,-1176158115,1979947980
886,51,-1419923297,1553705378
887,85,1244539575,493126332
888,96,-1567706397,-978781995
889,45,-762973068,3701874
890,85,275554882,-330094297
891,17,-1796137835,-912578908
892,102,-543375689,-894028262
893,62,1819597577,1379913236
894,28,-1044480897,819686301
895,34,975203581,324688248
896,51,-902850546,-520674084
897,68,-483449205,-1038652983
898,85,452810153,-1719538425
899,79,485266979,-435843122
900,102,262111153,377911740
901,34,139592457,453566889
902,96,184868291,1012434503
903,62,1940406378,1705246012
904,79,-1821660959,-1950179436
905,96,262331606,1027688763
906,85,2136388911,-1001682882
907,68,-244849941,-1729231706
908,51,1930893697,1941724615
909,34,1607736793,-750813016
910,79,-1073134682,1292822110
911,51,2087647955,-273654554
912,17,-1150584793,7284232
913,113,217714362,1535287788
914,17,1097637983,907917230
915,62,-1291853759,1267161936
916,96,1888085122,1425449515
917,51,753715547,-1953304849
918,79,631343656,1975472258
919,85,1808840295,-975983398
920,96,-1805827750,-2049210017
921,68,-1064319786,-1408029614
922,113,-125989004,-1269359148
923,113,-1370927531,-929008446
924,28,109600868,-1911848814
925,17,606498793,-10388794
926,102,-1532761753,-1448137701
927,68,1672363668,-1406633901
928,79,-466032472,-1386129850
929,45,1385252443,-356428105
930,28,1421181056,-1992375309
931,62,886942213,1740050212
932,102,-876755587,1730645995
933,102,1823026011,1753124317
934,96,-1302918711,-1431228530
935,34,1845751655,-992951007
936,45,1989915375,-601646294
937,79,1228615718,1966101144
938,45,-643021298,1288265805
939,96,104028520,-2137229946
940,45,-1730760999,572587787
941,79,-1617246342,-488453265
942,96,-873400881,-1149366410
943,113,15066792,239862329
944,51,-506224406,-820035042
945,62,-1495244703,-2107425261
946,79,689413010,1630313332
947,28,946387972,-1126301913
948,85,-1266913926,1480162159
949,62,-44394428,2083180712
950,113,1764673289,-111107866
951,79,-5595209,943215084
952,62,1110631320,-1511615788
953,28,-1977539855,828356326
954,79,1725994176,-1082724132
955,34,971626537,1279460340
956,34,-418740991,1873193507
957,68,-152377243,-58621116
958,68,-1510962309,-567204023
959,45,756861693,-52402946
960,28,341114039,-165204131
961,51,-1798234549,660303956
962,62,784963213,-632005573
963,113,-300332729,1194763416
964,68,320808241,158146597
965,79,1199918769,1225766081
966,113,-1333546745,2072032192
967,28,943869315,-35278410
968,102,-1787207977,-880713764
969,96,-2122568084,-1868442413
970,68,-298702469,-1865971137
971,45,-678140696,-859581143
972,113,-1821326379,-1478127691
973,17,-461142307,-1949901534
974,28,2039738790,1860050865
975,51,-1096254830,13631132
976,85,-208964276,544490921
977,68,69746679,323567073
978,113,-424755525,589540499
979,102,-1953939774,-1631486441
980,102,-269585091,1843778331
981,45,-2015712071,-927351218
